港澳台频道,#genre#
Channel 5 HD,http://43.247.135.149:8151/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://43.247.135.149:8151/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://43.247.135.149:8151/AKTV/live/aktv/channeluhd/AKTV.m3u8
myTV SUPER 18台,http://43.247.135.149:8151/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
PopC,http://43.247.135.149:8151/AKTV/live/aktv/popc/AKTV.m3u8
ROCK Action,http://43.247.135.149:8151/AKTV/live/aktv/rockaction/AKTV.m3u8
TVB Plus,http://43.247.135.149:8151/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://43.247.135.149:8151/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新聞台,http://43.247.135.149:8151/AKTV/live/aktv/tvbs-1/AKTV.m3u8
tvN,http://43.247.135.149:8151/AKTV/live/aktv/tvn/AKTV.m3u8
中天亞洲台,http://43.247.135.149:8151/AKTV/live/aktv/null-12/AKTV.m3u8
中天新聞台,http://43.247.135.149:8151/AKTV/live/aktv/null-8/AKTV.m3u8
中視,http://43.247.135.149:8151/AKTV/live/aktv/null-10/AKTV.m3u8
千禧經典台,http://43.247.135.149:8151/AKTV/live/aktv/null-15/AKTV.m3u8
娛樂新聞台(HK),http://43.247.135.149:8151/AKTV/live/aktv/hk/AKTV.m3u8
寰宇新聞台,http://43.247.135.149:8151/AKTV/live/aktv/null-9/AKTV.m3u8
日本全天新聞,http://43.247.135.149:8151/AKTV/live/aktv/null-13/AKTV.m3u8
明珠剧集台(北美),http://43.247.135.149:8151/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://43.247.135.149:8151/AKTV/live/aktv/null-2/AKTV.m3u8
無線新聞台,http://43.247.135.149:8151/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://43.247.135.149:8151/AKTV/live/aktv/hk-1/AKTV.m3u8
翡翠剧集台(北美),http://43.247.135.149:8151/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://43.247.135.149:8151/AKTV/live/aktv/null/AKTV.m3u8
翡翠综合台(北美),http://43.247.135.149:8151/AKTV/live/aktv/null-17/AKTV.m3u8
華視,http://43.247.135.149:8151/AKTV/live/aktv/null-11/AKTV.m3u8
靖天電影台,http://43.247.135.149:8151/AKTV/live/aktv/null-6/AKTV.m3u8
鳳凰中文,http://moss.missyao.com:35456/jump?url=http%3A%2F%2F43.247.135.149%3A35455%2Ftptv%2FHD-10000k-1080P-fhchinese5s.m3u8$tptv
鳳凰資訊,http://moss.missyao.com:35456/jump?url=http%3A%2F%2F43.247.135.149%3A35455%2Ftptv%2FHD-10000k-1080P-fhzixun5s.m3u8$tptv
